Date,Open,High,Low,Close,Volume
6/8/2017,155.25,155.539993,154.399994,154.990005,21250800
6/9/2017,155.190002,155.190002,146.020004,148.979996,64882700
6/12/2017,145.740005,146.089996,142.509995,145.419998,72307300
6/13/2017,147.160004,147.449997,145.149994,146.589996,34165400
6/14/2017,147.5,147.5,143.839996,145.160004,31531200
6/15/2017,143.320007,144.479996,142.210007,144.289993,32165400
6/16/2017,143.779999,144.5,142.199997,142.270004,50361100
6/19/2017,143.660004,146.740005,143.660004,146.339996,32541400
6/20/2017,146.869995,146.869995,144.940002,145.009995,24900100
6/21/2017,145.520004,146.070007,144.610001,145.869995,21265800
6/22/2017,145.770004,146.699997,145.119995,145.630005,19106300
6/23/2017,145.130005,147.160004,145.110001,146.279999,35439400
6/26/2017,147.169998,148.279999,145.380005,145.820007,25692400
6/27/2017,145.009995,146.160004,143.619995,143.729996,24761900
6/28/2017,144.490005,146.110001,143.160004,145.830002,22082400
6/29/2017,144.710007,145.130005,142.279999,143.679993,31499400
6/30/2017,144.449997,144.960007,143.779999,144.020004,23024100
7/3/2017,144.880005,145.300003,143.100006,143.5,14258300
7/5/2017,143.690002,144.789993,142.720001,144.089996,21569600
7/6/2017,143.020004,143.5,142.410004,142.729996,24128800
7/7/2017,142.899994,144.75,142.899994,144.179993,19201700
7/10/2017,144.110001,145.949997,143.369995,145.059998,21090600
7/11/2017,144.729996,145.850006,144.380005,145.529999,19781800
7/12/2017,145.869995,146.179993,144.820007,145.740005,24884500
7/13/2017,145.5,148.490005,145.440002,147.770004,25199400
7/14/2017,147.970001,149.330002,147.330002,149.039993,20132100
7/17/2017,148.820007,150.899994,148.570007,149.559998,23793500
7/18/2017,149.199997,150.130005,148.669998,150.080002,17868800
7/19/2017,150.479996,151.419998,149.949997,151.020004,20923000
7/20/2017,151.5,151.740005,150.190002,150.339996,17243700
7/21/2017,149.990005,150.440002,148.880005,150.270004,26252600
7/24/2017,150.580002,152.440002,149.899994,152.089996,21493200
7/25/2017,151.800003,153.839996,151.800003,152.740005,18853900
7/26/2017,153.350006,153.929993,153.059998,153.460007,15781000
7/27/2017,153.75,153.990005,147.300003,150.559998,32476300
7/28/2017,149.889999,150.229996,149.190002,149.5,17213700
7/31/2017,149.899994,150.330002,148.130005,148.729996,19845900
8/1/2017,149.100006,150.220001,148.410004,150.050003,35368600
8/2/2017,159.279999,159.75,156.160004,157.139999,69936800
8/3/2017,157.050003,157.210007,155.020004,155.570007,27097300
8/4/2017,156.070007,157.399994,155.690002,156.389999,20559900
8/7/2017,157.059998,158.919998,156.669998,158.809998,21870300
8/8/2017,158.600006,161.830002,158.270004,160.080002,36205900
8/9/2017,159.259995,161.270004,159.110001,161.059998,26131500
8/10/2017,159.899994,160,154.630005,155.320007,40804300
8/11/2017,156.600006,158.570007,156.070007,157.479996,26257100
8/14/2017,159.320007,160.210007,158.75,159.850006,22122700
8/15/2017,160.660004,162.199997,160.139999,161.600006,29465500
8/16/2017,161.940002,162.509995,160.149994,160.949997,27671600
8/17/2017,160.520004,160.710007,157.839996,157.860001,27940600
8/18/2017,157.860001,159.5,156.720001,157.5,27428100
8/21/2017,157.5,157.889999,155.110001,157.210007,26368500
8/22/2017,158.229996,160,158.020004,159.779999,21604600
8/23/2017,159.070007,160.470001,158.880005,159.979996,19399100
8/24/2017,160.429993,160.740005,158.550003,159.270004,19818900
8/25/2017,159.649994,160.559998,159.270004,159.860001,25480100
8/28/2017,160.139999,162,159.929993,161.470001,25966000
8/29/2017,160.100006,163.119995,160,162.910004,29516900
8/30/2017,163.800003,163.889999,162.610001,163.350006,27269600
8/31/2017,163.639999,164.520004,163.479996,164,26785100
9/1/2017,164.800003,164.940002,163.630005,164.050003,16591100
9/5/2017,163.75,164.25,160.559998,162.080002,29468500
9/6/2017,162.710007,162.990005,160.520004,161.910004,21651700
9/7/2017,162.089996,162.240005,160.360001,161.259995,21928500
9/8/2017,160.860001,161.149994,158.529999,158.630005,28611500
9/11/2017,160.5,162.050003,159.889999,161.5,31085900
9/12/2017,162.610001,163.960007,158.770004,160.860001,71714000
9/13/2017,159.869995,159.960007,157.910004,159.649994,44907400
9/14/2017,158.990005,159.399994,158.089996,158.279999,23760700
9/15/2017,158.470001,160.970001,158,159.880005,49114600
9/18/2017,160.110001,160.5,158,158.669998,28269400
9/19/2017,159.509995,159.770004,158.440002,158.729996,20810600
9/20/2017,157.899994,158.259995,153.830002,156.070007,52951400
9/21/2017,155.800003,155.800003,152.75,153.389999,37511700
9/22/2017,151.539993,152.270004,150.559998,151.889999,46645400
9/25/2017,149.990005,151.830002,149.160004,150.550003,44387300
9/26/2017,151.779999,153.919998,151.690002,153.139999,36660000
9/27/2017,153.800003,154.720001,153.539993,154.229996,25504200
9/28/2017,153.889999,154.279999,152.699997,153.279999,22005500
9/29/2017,153.210007,154.130005,152,154.119995,26299800
10/2/2017,154.259995,154.449997,152.720001,153.809998,18698800
10/3/2017,154.009995,155.089996,153.910004,154.479996,16230300
10/4/2017,153.630005,153.860001,152.460007,153.479996,20163800
10/5/2017,154.179993,155.440002,154.050003,155.389999,21283800
10/6/2017,154.970001,155.490005,154.559998,155.300003,17407600
10/9/2017,155.809998,156.729996,155.490005,155.839996,16262900
10/10/2017,156.059998,158,155.100006,155.899994,15617000
10/11/2017,155.970001,156.979996,155.75,156.550003,16905600
10/12/2017,156.350006,157.369995,155.729996,156,16125100
10/13/2017,156.729996,157.279999,156.410004,156.990005,16394200
10/16/2017,157.899994,160,157.649994,159.880005,24121500
10/17/2017,159.779999,160.869995,159.229996,160.470001,18997300
10/18/2017,160.419998,160.710007,159.600006,159.759995,16374200
10/19/2017,156.75,157.080002,155.020004,155.979996,42584200
10/20/2017,156.610001,157.75,155.960007,156.25,23974100
10/23/2017,156.889999,157.690002,155.5,156.169998,21984300
10/24/2017,156.289993,157.419998,156.199997,157.100006,17757200
10/25/2017,156.910004,157.550003,155.270004,156.410004,21207100
10/26/2017,157.229996,157.830002,156.779999,157.410004,17000500
10/27/2017,159.289993,163.600006,158.699997,163.050003,44454200
10/30/2017,163.889999,168.070007,163.720001,166.720001,44700800
10/31/2017,167.899994,169.649994,166.940002,169.039993,36046800
11/1/2017,169.869995,169.940002,165.610001,166.889999,33637800
11/2/2017,166.600006,168.5,165.279999,168.110001,41393400
11/3/2017,174,174.259995,171.119995,172.5,59398600
11/6/2017,172.369995,174.990005,171.720001,174.25,35026300
11/7/2017,173.910004,175.25,173.600006,174.809998,24361500
11/8/2017,174.660004,176.240005,174.330002,176.240005,24409500
11/9/2017,175.110001,176.100006,173.139999,175.880005,29482600
11/10/2017,175.110001,175.380005,174.270004,174.669998,25145500
11/13/2017,173.5,174.5,173.399994,173.970001,16982100
11/14/2017,173.039993,173.479996,171.179993,171.339996,24782500
11/15/2017,169.970001,170.320007,168.380005,169.080002,29158100
11/16/2017,171.179993,171.869995,170.300003,171.100006,23637500
11/17/2017,171.039993,171.389999,169.639999,170.149994,21899500
11/20/2017,170.289993,170.559998,169.559998,169.979996,16262400
11/21/2017,170.779999,173.699997,170.779999,173.139999,25131300
11/22/2017,173.360001,175,173.050003,174.960007,25588900
11/24/2017,175.100006,175.5,174.649994,174.970001,14026700
11/27/2017,175.050003,175.080002,173.339996,174.089996,20716800
11/28/2017,174.300003,174.869995,171.860001,173.070007,26428800
11/29/2017,172.630005,172.919998,167.160004,169.479996,41666400
11/30/2017,170.429993,172.139999,168.440002,171.850006,41527200
12/1/2017,169.949997,171.669998,168.5,171.050003,39759300
12/4/2017,172.479996,172.619995,169.630005,169.800003,32542400
12/5/2017,169.059998,171.520004,168.399994,169.639999,27350200
12/6/2017,167.5,170.199997,166.460007,169.009995,28560000
12/7/2017,169.029999,170.440002,168.910004,169.320007,25673300
12/8/2017,170.490005,171,168.820007,169.369995,23355200
12/11/2017,169.199997,172.889999,168.789993,172.669998,35273800
12/12/2017,172.149994,172.389999,171.460007,171.699997,19409200
12/13/2017,172.5,173.539993,172,172.270004,23818400
12/14/2017,172.399994,173.130005,171.649994,172.220001,20476500
12/15/2017,173.630005,174.169998,172.460007,173.970001,40169300
12/18/2017,174.880005,177.199997,174.860001,176.419998,29421100
12/19/2017,175.029999,175.389999,174.089996,174.539993,27436400
12/20/2017,174.869995,175.419998,173.25,174.350006,23475600
12/21/2017,174.169998,176.020004,174.100006,175.009995,20949900
12/22/2017,174.679993,175.419998,174.5,175.009995,16349400
12/26/2017,170.800003,171.470001,169.679993,170.570007,33185500
12/27/2017,170.100006,170.779999,169.710007,170.600006,21498200
12/28/2017,171,171.850006,170.479996,171.080002,16480200
12/29/2017,170.520004,170.589996,169.220001,169.229996,25999900
1/2/2018,170.160004,172.300003,169.259995,172.259995,25555900
1/3/2018,172.529999,174.550003,171.960007,172.229996,29517900
1/4/2018,172.539993,173.470001,172.080002,173.029999,22434600
1/5/2018,173.440002,175.369995,173.050003,175,23660000
1/8/2018,174.350006,175.610001,173.929993,174.350006,20567800
1/9/2018,174.550003,175.059998,173.410004,174.330002,21584000
1/10/2018,173.160004,174.300003,173,174.289993,23959900
1/11/2018,174.589996,175.490005,174.490005,175.279999,18667700
1/12/2018,176.179993,177.360001,175.649994,177.089996,25418100
1/16/2018,177.899994,179.389999,176.139999,176.190002,29565900
1/17/2018,176.149994,179.25,175.070007,179.100006,33888500
1/18/2018,179.369995,180.100006,178.25,179.259995,31193400
1/19/2018,178.610001,179.580002,177.410004,178.460007,32425100
1/22/2018,177.300003,177.779999,176.600006,177,27108600
1/23/2018,177.300003,179.440002,176.820007,177.039993,32689100
1/24/2018,177.25,177.300003,173.199997,174.220001,51105100
1/25/2018,174.509995,174.949997,170.529999,171.110001,41529000
1/26/2018,172,172,170.059998,171.509995,39143000
1/29/2018,170.160004,170.160004,167.070007,167.960007,50640400
1/30/2018,165.529999,167.369995,164.699997,166.970001,46048200
1/31/2018,166.869995,168.440002,166.5,167.429993,32478900
