Div. No.,Division Name,School No.,School Name,Low Grade,High Grade,Grade PK,Grade JK,Grade KG,Grade T1,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Grade PG,Total Full-Time,Part-time Students,Total Full-time & Part-time Students
93,Warren County Public Schools,20,LESLIE FOX KEYSER ELEM,KG,5,29,,84,,77,95,85,94,95,,,,,,,,,559,0,559
93,Warren County Public Schools,240,RESSIE JEFFRIES ELEM,KG,5,16,,80,,81,86,92,92,121,,,,,,,,,568,0,568
93,Warren County Public Schools,250,SKYLINE HIGH,8,12,,,,,,,,,,,,232,206,203,223,220,,"1,084",0,"1,084"
93,Warren County Public Schools,230,WARREN COUNTY HIGH,8,12,,,,,,,,,,,,191,201,232,217,208,,"1,049",2,"1,051"
93,Warren County Public Schools,270,WARREN COUNTY MIDDLE,6,7,,,,,,,,,,407,404,,,,,,,811,0,811
94,Washington County Public Schools,"1,080",ABINGDON ELEM,PK,5,32,,84,,88,77,78,81,68,,,,,,,,,508,0,508
94,Washington County Public Schools,"1,030",ABINGDON HIGH,9,12,,,,,,,,,,,,,251,236,236,221,,944,0,944
94,Washington County Public Schools,40,DAMASCUS MIDDLE,6,8,,,,,,,,,,69,73,63,,,,,,205,0,205
94,Washington County Public Schools,"1,110",E.B. STANLEY MIDDLE,6,8,,,,,,,,,,224,221,220,,,,,,665,0,665
94,Washington County Public Schools,"1,090",GLADE SPRING MIDDLE,6,8,,,,,,,,,,93,96,96,,,,,,285,0,285
94,Washington County Public Schools,260,GREENDALE ELEM,PK,5,23,,42,,51,59,53,65,53,,,,,,,,,346,0,346
94,Washington County Public Schools,"1,070",HIGH POINT ELEM,PK,5,39,,72,,80,102,92,85,112,,,,,,,,,582,0,582
94,Washington County Public Schools,"1,060",HOLSTON HIGH,9,12,,,,,,,,,,,,,82,83,86,75,,326,0,326
94,Washington County Public Schools,"1,040",JOHN S. BATTLE HIGH,9,12,,,,,,,,,,,,,171,157,142,141,,611,0,611
94,Washington County Public Schools,20,MEADOWVIEW ELEM,PK,5,36,,70,,89,101,103,108,98,,,,,,,,,605,0,605
94,Washington County Public Schools,"1,050",PATRICK HENRY HIGH,9,12,,,,,,,,,,,,,117,107,98,105,,427,1,428
94,Washington County Public Schools,50,RHEA VALLEY ELEM,PK,5,41,,56,,65,69,51,90,59,,,,,,,,,431,0,431
94,Washington County Public Schools,"1,020",VALLEY INSTITUTE ELEM,PK,5,23,,44,,45,52,48,49,60,,,,,,,,,321,0,321
94,Washington County Public Schools,620,WALLACE MIDDLE,6,8,,,,,,,,,,149,154,146,,,,,,449,0,449
94,Washington County Public Schools,70,WATAUGA ELEM,PK,5,35,,82,,74,86,91,101,90,,,,,,,,,559,0,559
130,Waynesboro City Public Schools,650,BERKELEY GLENN ELEM,KG,5,,,39,,51,44,50,47,51,,,,,,,,,282,0,282
130,Waynesboro City Public Schools,640,KATE COLLINS MIDDLE,6,8,,,,,,,,,,222,226,225,,,,,,673,0,673
130,Waynesboro City Public Schools,"8,888",Special Situation Schools,,,0,,2,,1,,,,1,1,1,0,,2,1,,,9,0,9
130,Waynesboro City Public Schools,620,WAYNE HILLS CTR,PK,PK,142,,,,,,,,,,,,,,,,,142,0,142
130,Waynesboro City Public Schools,600,WAYNESBORO HIGH,9,12,,,,,,,,,,,,,239,237,175,185,3,839,0,839
130,Waynesboro City Public Schools,580,WENONAH ELEM,KG,5,,,42,,40,39,47,38,40,,,,,,,,,246,0,246
130,Waynesboro City Public Schools,630,WESTWOOD HILLS ELEM,KG,5,,,84,,67,80,82,67,81,,,,,,,,,461,0,461
130,Waynesboro City Public Schools,751,WILLIAM PERRY ELEM,KG,5,,,86,,84,101,84,95,71,,,,,,,,,521,0,521
207,West Point Public Schools,280,WEST POINT ELEM,PK,5,10,,56,,51,43,67,57,62,,,,,,,,,346,0,346
207,West Point Public Schools,290,WEST POINT HIGH,9,12,,,,,,,,,,,,,79,65,75,75,,294,0,294
207,West Point Public Schools,391,WEST POINT MIDDLE,6,8,,,,,,,,,,54,58,54,,,,,,166,0,166
95,Westmoreland County Public Schools,210,COPLE ELEM,PK,5,42,,48,,66,51,59,66,60,,,,,,,,,392,0,392
95,Westmoreland County Public Schools,300,MONTROSS MIDDLE,6,8,,,,,,,,,,100,132,129,,,,,,361,0,361
95,Westmoreland County Public Schools,120,WASHINGTON & LEE HIGH,9,12,,,,,,,,,,,,,122,140,106,114,,482,0,482
95,Westmoreland County Public Schools,310,WASHINGTON DISTRICT ELEM,PK,5,39,,73,,62,66,77,86,65,,,,,,,,,468,0,468
131,Williamsburg-James City County Public Schools,60,BERKELEY MIDDLE,6,8,,,,,,,,,,288,281,294,,,,,,863,0,863
131,Williamsburg-James City County Public Schools,40,CLARA BYRD BAKER ELEM,PK,5,27,,82,,79,91,95,80,102,,,,,,,,,556,29,585
131,Williamsburg-James City County Public Schools,80,D.J. MONTAGUE ELEM,KG,5,,,91,,73,73,68,78,75,,,,,,,,,458,0,458
131,Williamsburg-James City County Public Schools,190,J BLAINE BLAYTON ELEM,PK,5,34,,83,,68,81,81,95,100,,,,,,,,,542,50,592
131,Williamsburg-James City County Public Schools,201,JAMES RIVER ELEM,KG,5,,,77,,76,74,78,103,92,,,,,,,,,500,0,500
131,Williamsburg-James City County Public Schools,202,JAMESTOWN HIGH,9,12,,,,,,,,,,,,,353,328,322,347,,"1,350",0,"1,350"
131,Williamsburg-James City County Public Schools,90,LAFAYETTE HIGH,9,12,,,,,,,,,,,,,291,318,295,258,,"1,162",0,"1,162"
131,Williamsburg-James City County Public Schools,191,LOIS HORNSBY MIDDLE,6,8,,,,,,,,,,318,332,296,,,,,,946,0,946
131,Williamsburg-James City County Public Schools,205,MATOAKA ELEM,KG,5,,,101,,117,123,132,130,122,,,,,,,,,725,0,725
